size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy
100,1,1.0,0.75,0.818401937046005,0.7934272300469484,0.845,0.7025,0.56,0.785,0.905
200,1,0.995,0.76,0.8144329896907218,0.8404255319148937,0.79,0.745,0.7,0.705,0.875
300,1,0.9966666666666667,0.8066666666666666,0.8520408163265306,0.8697916666666666,0.835,0.7925,0.75,0.77,0.9
400,1,0.99,0.8316666666666667,0.8723135271807839,0.8823529411764706,0.8625,0.81625,0.77,0.845,0.88
500,1,0.982,0.82,0.8653366583541149,0.8631840796019901,0.8675,0.79625,0.725,0.82,0.915
600,1,0.9933333333333333,0.855,0.8913857677902621,0.8902743142144638,0.8925,0.8362499999999999,0.78,0.85,0.935
700,1,0.99,0.86,0.8917525773195877,0.9202127659574468,0.865,0.8574999999999999,0.85,0.815,0.915
800,1,0.99,0.8383333333333334,0.874189364461738,0.9083557951482479,0.8425,0.8362499999999999,0.83,0.8,0.885
900,1,0.9866666666666667,0.8616666666666667,0.8929032258064517,0.9226666666666666,0.865,0.86,0.855,0.81,0.92
1000,1,0.985,0.8533333333333334,0.8865979381443299,0.9148936170212766,0.86,0.85,0.84,0.8,0.92
