size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy
100,1,0.95,0.6333333333333333,0.740566037735849,0.7008928571428571,0.785,0.5575,0.33,0.745,0.825
200,1,0.955,0.625,0.6963562753036437,0.7565982404692082,0.645,0.615,0.585,0.595,0.695
300,1,0.94,0.6666666666666666,0.7368421052631577,0.7777777777777778,0.7,0.6499999999999999,0.6,0.665,0.735
400,1,0.9425,0.635,0.7107001321003963,0.7535014005602241,0.6725,0.61625,0.56,0.615,0.73
500,1,0.938,0.7083333333333334,0.7747747747747747,0.7984084880636605,0.7525,0.68625,0.62,0.71,0.795
600,1,0.9516666666666667,0.745,0.8005215123859192,0.8365122615803815,0.7675,0.7337499999999999,0.7,0.74,0.795
700,1,0.9328571428571428,0.7733333333333333,0.8256410256410257,0.8473684210526315,0.805,0.7575000000000001,0.71,0.76,0.85
800,1,0.94,0.795,0.8416988416988417,0.8673740053050398,0.8175,0.78375,0.75,0.78,0.855
900,1,0.9522222222222222,0.8116666666666666,0.8549422336328626,0.8786279683377308,0.8325,0.80125,0.77,0.805,0.86
1000,1,0.941,0.8233333333333334,0.8630490956072352,0.893048128342246,0.835,0.8175,0.8,0.805,0.865
