size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
100,1,0.99,0.6633333333333333,0.7662037037037038,0.7133620689655172,0.8275,0.58125,0.335,0.775,0.88,0.0017940998077392578
200,1,1.0,0.7033333333333334,0.7935034802784223,0.7402597402597403,0.855,0.6275,0.4,0.82,0.89,0.012269020080566406
300,1,0.9966666666666667,0.7166666666666667,0.7786458333333334,0.8125,0.7475,0.70125,0.655,0.73,0.765,0.004243135452270508
400,1,1.0,0.6983333333333334,0.7496542185338866,0.8390092879256966,0.6775,0.70875,0.74,0.59,0.765,0.006051301956176758
500,1,1.0,0.7466666666666667,0.7984084880636604,0.8502824858757062,0.7525,0.7437499999999999,0.735,0.7,0.805,0.027389049530029297
600,1,0.995,0.7716666666666666,0.8190224570673713,0.8683473389355743,0.775,0.77,0.765,0.76,0.79,0.0073130130767822266
700,1,1.0,0.8183333333333334,0.8560105680317042,0.907563025210084,0.81,0.8225,0.835,0.78,0.84,0.04338335990905762
800,1,1.0,0.84,0.8730158730158731,0.9269662921348315,0.825,0.8474999999999999,0.87,0.78,0.87,0.04894900321960449
900,1,0.9988888888888889,0.845,0.8796895213454076,0.9115281501340483,0.85,0.8425,0.835,0.82,0.88,0.04339241981506348
1000,1,1.0,0.8183333333333334,0.8560105680317042,0.907563025210084,0.81,0.8225,0.835,0.745,0.875,0.04322338104248047
