size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
100,1,0.992,0.6243333333333333,0.6962399598076991,0.7333651603399124,0.6990000000000001,0.6243333333333333,0.475,0.635,0.763,0.8094667673110962
200,1,1.0,0.5436666666666665,0.5206706635476345,0.8377616700629298,0.395,0.5436666666666665,0.841,0.35300000000000004,0.437,1.6113237380981444
300,1,1.0,0.663,0.7116287941339499,0.8248555557145799,0.6285,0.663,0.732,0.5980000000000001,0.659,2.7101698398590086
400,1,0.999,0.6996666666666668,0.7517544721658802,0.8372728638793282,0.683,0.6996666666666668,0.7330000000000001,0.6050000000000001,0.761,4.422565507888794
500,1,0.9984,0.7543333333333333,0.8078957839200912,0.8438810961874728,0.7750000000000001,0.7543333333333333,0.713,0.74,0.8100000000000002,6.47407865524292
600,1,0.998,0.7909999999999999,0.8361604923981945,0.8758436839126679,0.8,0.7909999999999999,0.773,0.759,0.841,8.272692728042603
700,1,1.0,0.8083333333333333,0.8464619492656876,0.9083094555873925,0.7925,0.8083333333333333,0.8400000000000001,0.76,0.825,11.742107057571411
800,1,1.0,0.8316666666666667,0.8655126498002662,0.9259259259259259,0.8125,0.8316666666666667,0.8699999999999999,0.77,0.8550000000000001,15.191660261154174
900,1,1.0,0.8483333333333334,0.8816644993498051,0.9186991869918699,0.8474999999999999,0.8483333333333334,0.85,0.825,0.8699999999999999,18.634426045417786
1000,1,1.0,0.8466666666666667,0.8789473684210527,0.9277777777777778,0.835,0.8466666666666667,0.8699999999999999,0.765,0.905,22.1654545545578
