size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
100,1,0.99,0.7066666666666667,0.8095238095238096,0.7137404580152672,0.935,0.5925,0.25,0.9,0.97,0.0017538070678710938
200,1,1.0,0.6866666666666666,0.763819095477387,0.7676767676767676,0.76,0.65,0.54,0.725,0.795,0.012677192687988281
300,1,1.0,0.71,0.7846534653465347,0.7769607843137255,0.7925,0.66875,0.545,0.79,0.795,0.01858687400817871
400,1,1.0,0.7216666666666667,0.8023668639053255,0.7617977528089888,0.8475,0.65875,0.47,0.81,0.885,0.028671979904174805
500,1,1.0,0.7483333333333333,0.7999999999999999,0.8507042253521127,0.755,0.745,0.735,0.7,0.81,0.027081727981567383
600,1,1.0,0.7983333333333333,0.8409986859395532,0.8864265927977839,0.8,0.7975000000000001,0.795,0.76,0.84,0.03486800193786621
700,1,1.0,0.82,0.8567639257294429,0.9124293785310734,0.8075,0.8262499999999999,0.845,0.78,0.835,0.037307024002075195
800,1,1.0,0.8416666666666667,0.8741721854304636,0.9295774647887324,0.825,0.85,0.875,0.785,0.865,0.040534019470214844
900,1,1.0,0.8466666666666667,0.8808290155440415,0.9139784946236559,0.85,0.845,0.84,0.825,0.875,0.044553518295288086
1000,1,0.997,0.8383333333333334,0.8725361366622865,0.9196675900277008,0.83,0.8425,0.855,0.755,0.905,0.0485997200012207
