size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
100,1,0.99,0.7066666666666667,0.8095238095238096,0.7137404580152672,0.935,0.5925,0.25,0.9,0.97,0.0018389225006103516
200,1,1.0,0.445,0.34059405940594056,0.819047619047619,0.215,0.56,0.905,0.185,0.245,0.0034303665161132812
300,1,1.0,0.6533333333333333,0.7011494252873564,0.8243243243243243,0.61,0.675,0.74,0.58,0.64,0.004328489303588867
400,1,0.9975,0.7033333333333334,0.7620320855614973,0.8189655172413793,0.7125,0.69875,0.685,0.64,0.785,0.006844758987426758
500,1,0.998,0.755,0.8093385214007782,0.8409703504043127,0.78,0.7424999999999999,0.705,0.75,0.81,0.008116006851196289
600,1,1.0,0.7916666666666666,0.8357424441524312,0.8808864265927978,0.795,0.79,0.785,0.745,0.845,0.040277957916259766
700,1,1.0,0.8083333333333333,0.8464619492656875,0.9083094555873925,0.7925,0.8162499999999999,0.84,0.76,0.825,0.04395604133605957
800,1,1.0,0.8316666666666667,0.8655126498002662,0.9259259259259259,0.8125,0.84125,0.87,0.77,0.855,0.04552292823791504
900,1,1.0,0.8483333333333334,0.8816644993498051,0.9186991869918699,0.8475,0.84875,0.85,0.825,0.87,0.05266690254211426
1000,1,1.0,0.8466666666666667,0.8789473684210527,0.9277777777777778,0.835,0.8525,0.87,0.765,0.905,0.05389595031738281
