size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
1000,1,0.962,0.8266666666666667,0.8663239074550129,0.8915343915343915,0.8425,0.8187500000000001,0.795,0.8,0.885,102.70918440818787,
1000,1,0.977,0.825,0.8665819567979671,0.8811369509043928,0.8525,0.81125,0.77,0.82,0.885,98.71690821647644,
1000,1,1.0,0.8083333333333333,0.8391608391608391,0.9523809523809523,0.75,0.8375,0.925,0.69,0.81,94.68530750274658,
1000,1,1.0,0.8083333333333333,0.8422496570644719,0.9331306990881459,0.7675,0.82875,0.89,0.695,0.84,97.76674294471741,
1000,1,1.0,0.8083333333333333,0.8422496570644719,0.9331306990881459,0.7675,0.82875,0.89,0.695,0.84,90.99448704719543,
1000,1,0.977,0.825,0.8665819567979671,0.8811369509043928,0.8525,0.81125,0.77,0.82,0.885,85.38531589508057,
1000,1,0.977,0.825,0.8665819567979671,0.8811369509043928,0.8525,0.81125,0.77,0.82,0.885,80.96673464775085,
1000,1,1.0,0.8083333333333333,0.8391608391608391,0.9523809523809523,0.75,0.8375,0.925,0.69,0.81,84.89479160308838,
1000,1,0.962,0.8266666666666667,0.8663239074550129,0.8915343915343915,0.8425,0.8187500000000001,0.795,0.8,0.885,80.48217487335205,
1000,1,1.0,0.8083333333333333,0.8422496570644719,0.9331306990881459,0.7675,0.82875,0.89,0.695,0.84,86.4444830417633,
