size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
100,1,1.0,0.7233333333333334,0.785529715762274,0.8128342245989305,0.76,0.7050000000000001,0.65,0.69,0.83,1736.4831058979034
200,1,1.0,0.7683333333333333,0.8158940397350993,0.8676056338028169,0.77,0.7675000000000001,0.765,0.685,0.855,4520.946435451508
300,1,1.0,0.81,0.8523316062176165,0.8844086021505376,0.8225,0.80375,0.785,0.76,0.885,7643.343289852142
400,1,0.995,0.8116666666666666,0.8530559167750326,0.8888888888888888,0.82,0.8075,0.795,0.775,0.865,11972.459630727768
500,1,0.994,0.8333333333333334,0.8734177215189874,0.8846153846153846,0.8625,0.8187500000000001,0.775,0.8,0.925,17100.964935302734
600,1,0.9983333333333333,0.8666666666666667,0.8984771573604061,0.9123711340206185,0.885,0.8574999999999999,0.83,0.835,0.935,24108.711639404297
700,1,0.9957142857142857,0.86,0.8911917098445595,0.9247311827956989,0.86,0.86,0.86,0.815,0.905,30355.07278752327
800,1,0.98875,0.835,0.8705882352941178,0.9123287671232877,0.8325,0.8362499999999999,0.84,0.79,0.875,37648.30392956734
900,1,0.9933333333333333,0.87,0.8997429305912596,0.9259259259259259,0.875,0.8674999999999999,0.86,0.825,0.925,48039.83479166031
1000,1,0.991,0.8666666666666667,0.8971722365038561,0.9232804232804233,0.8725,0.86375,0.855,0.84,0.905,55367.425523757935
