size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
100,1,1.0,0.6766666666666666,0.7364130434782609,0.8065476190476191,0.6775,0.67625,0.675,0.6,0.755,916.561970949173
200,1,1.0,0.7016666666666667,0.7394468704512371,0.8850174216027874,0.635,0.735,0.835,0.54,0.73,2330.862179994583
300,1,0.9833333333333333,0.7383333333333333,0.778561354019746,0.8932038834951457,0.69,0.7625,0.835,0.65,0.73,4009.5162765979767
400,1,0.9725,0.765,0.803894297635605,0.9059561128526645,0.7225,0.78625,0.85,0.65,0.795,6130.382988214493
500,1,0.96,0.755,0.7944055944055944,0.9015873015873016,0.71,0.7775,0.845,0.635,0.785,8887.33911204338
600,1,0.9716666666666667,0.7733333333333333,0.8073654390934845,0.9313725490196079,0.7125,0.80375,0.895,0.62,0.805,12002.377385616302
700,1,0.9528571428571428,0.79,0.8259668508287293,0.9228395061728395,0.7475,0.81125,0.875,0.705,0.79,15960.697047710419
800,1,0.95,0.7816666666666666,0.8167832167832167,0.926984126984127,0.73,0.8075,0.885,0.665,0.795,19045.532074928284
900,1,0.9477777777777778,0.8016666666666666,0.8363136176066025,0.9296636085626911,0.76,0.8225,0.885,0.665,0.855,23329.186890125275
1000,1,0.954,0.8033333333333333,0.8365650969529086,0.937888198757764,0.755,0.8275,0.9,0.67,0.84,28341.041741609573
