size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,120.705491065979
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,123.61683201789856
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,114.64664363861084
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,115.25891780853271
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,107.94405460357666
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,109.33415961265564
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,109.03458452224731
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,108.94087982177734
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,112.07273149490356
600,1,1.0,0.75,0.8110831234256927,0.817258883248731,0.805,0.7225,0.64,0.79,0.82,108.58953642845154
