size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
200,1,1.0,0.755,0.8424437299035371,0.7373358348968105,0.9825,0.64125,0.3,0.985,0.98,0.02523040771484375
300,1,1.0,0.7716666666666666,0.8502732240437159,0.7553398058252427,0.9725,0.67125,0.37,0.985,0.96,0.04482460021972656
400,1,1.0,0.76,0.8441558441558441,0.7442748091603053,0.975,0.6525,0.33,0.98,0.97,0.05862593650817871
500,1,1.0,0.6316666666666667,0.6820143884892087,0.8033898305084746,0.5925,0.65125,0.71,0.575,0.61,0.020117521286010742
600,1,1.0,0.7083333333333334,0.7631935047361298,0.831858407079646,0.705,0.71,0.715,0.685,0.725,0.027667760848999023
700,1,1.0,0.7016666666666667,0.7571234735413841,0.827893175074184,0.6975,0.70375,0.71,0.715,0.68,0.03691244125366211
800,1,1.0,0.6816666666666666,0.7275320970042797,0.8471760797342193,0.6375,0.70375,0.77,0.61,0.665,0.039389610290527344
900,1,1.0,0.7016666666666667,0.7417027417027416,0.8771331058020477,0.6425,0.73125,0.82,0.64,0.645,0.04747796058654785
1000,1,1.0,0.7583333333333333,0.8016415868673051,0.8851963746223565,0.7325,0.77125,0.81,0.71,0.755,0.04802107810974121


