size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,151.62525153160095
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,158.97077441215515
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,154.37849259376526
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,152.73085474967957
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,157.783686876297
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,162.11274909973145
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,154.88222122192383
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,142.77108764648438
900,1,1.0,0.9466666666666667,0.9595959595959594,0.9693877551020408,0.95,0.945,0.94,0.945,0.955,152.80487966537476
900,1,1.0,0.9566666666666667,0.9679802955665026,0.9538834951456311,0.9825,0.9437500000000001,0.905,0.98,0.985,147.60178232192993
