size,PPT_ratio,acc_train,accuracy,f1,precision,recall,balanced_accuracy,SEP_accuracy,PPT_accuracy,NPPT_accuracy,time
200,1,1.0,0.7883333333333333,0.8262653898768808,0.9123867069486404,0.755,0.8049999999999999,0.855,0.715,0.795,4175.999900817871
300,1,1.0,0.89,0.9147286821705426,0.946524064171123,0.885,0.8925000000000001,0.9,0.865,0.905,7787.852020740509
400,1,1.0,0.9033333333333333,0.9248704663212435,0.9596774193548387,0.8925,0.90875,0.925,0.87,0.915,11539.859488248825
500,1,1.0,0.9166666666666666,0.935897435897436,0.9605263157894737,0.9125,0.91875,0.925,0.895,0.93,16789.639445066452
600,1,1.0,0.9366666666666666,0.9511568123393317,0.9788359788359788,0.925,0.9425,0.96,0.905,0.945,22723.138439655304
700,1,1.0,0.9366666666666666,0.9510309278350515,0.9813829787234043,0.9225,0.94375,0.965,0.9,0.945,28620.28056883812
800,1,1.0,0.9366666666666666,0.9512820512820513,0.9763157894736842,0.9275,0.9412499999999999,0.955,0.925,0.93,36123.65789437294
900,1,1.0,0.9416666666666667,0.9551856594110115,0.979002624671916,0.9325,0.94625,0.96,0.915,0.95,44404.41671228409
1000,1,1.0,0.9466666666666667,0.9591836734693877,0.9791666666666666,0.94,0.95,0.96,0.93,0.95,53075.388000011444

