size,total_time,pca_time,training_time,prediction_time,accuracy
100,929.2667279243469,0.6005833148956299,232.3577163219452,696.1661303043365,0.6833333333333333
200,2389.382584810257,0.0036644935607910156,920.5925161838531,1468.668004989624,0.62
300,4897.760765075684,0.005474567413330078,2437.3059363365173,2460.231932401657,0.64
400,7287.650730609894,0.003537893295288086,4203.814108371735,3083.7132279872894,0.7566666666666667
500,10770.610563993454,0.0032587051391601562,6773.568292856216,3996.627861738205,0.7833333333333333
600,14489.122067451477,0.005972623825073242,9665.883190631866,4822.864135503769,0.7733333333333333
700,18640.01050710678,0.004628658294677734,13122.012113332748,5517.763067245483,0.7766666666666666
800,22141.673167943954,0.004901885986328125,16084.01413655281,6057.279932498932,0.7733333333333333
900,28693.900315761566,0.00501251220703125,21385.270576953888,7308.255955696106,0.77
1000,36496.31926250458,0.006985664367675781,27951.266790628433,8544.84869837761,0.78
