size,total_time,pca_time,training_time,prediction_time,accuracy
100,465.57307863235474,0.6708822250366211,117.28091168403625,347.4578495025635,0.6833333333333333
200,1191.8476045131683,0.08878898620605469,466.9271683692932,724.6789894104004,0.62
300,2122.9635837078094,0.0037696361541748047,1057.243149280548,1065.5313894748688,0.64
400,3199.0279881954193,0.01565408706665039,1835.6680569648743,1363.2346897125244,0.7566666666666667
500,4524.863484144211,0.02727651596069336,2828.714668035507,1695.9996724128723,0.7833333333333333
600,6126.120555400848,0.0575101375579834,4079.8850541114807,2046.0003287792206,0.7733333333333333
700,7898.391048669815,0.005568981170654297,5528.680229187012,2369.548175573349,0.7766666666666666
800,9926.052506923676,0.2539103031158447,7222.241828680038,2703.385856151581,0.7733333333333333
900,12152.10644698143,0.19690370559692383,9098.956192731857,3052.7362098693848,0.77
1000,14609.415992975235,0.15636396408081055,11246.53757929802,3362.527683496475,0.78
