size,total_time,pca_time,training_time,prediction_time,accuracy
100,478.2930941581726,0.0913095474243164,119.65074157714844,358.29643988609314,0.6833333333333333
200,1185.6472353935242,0.9391434192657471,475.8149507045746,708.7778253555298,0.62
300,2117.721483707428,0.10271263122558594,1063.6086220741272,1053.8663835525513,0.64
400,3306.173403978348,0.10024714469909668,1888.8721282482147,1417.0483615398407,0.7566666666666667
500,4725.226308345795,0.7948455810546875,2944.082342863083,1780.1848244667053,0.7833333333333333
600,6414.6992201805115,0.637622594833374,4267.077285766602,2146.7692477703094,0.7733333333333333
700,8222.444331169128,0.6311542987823486,5754.547733068466,2467.0611712932587,0.7766666666666666
800,10190.032334804535,0.8951780796051025,7448.366886854172,2740.5173444747925,0.7733333333333333
900,12328.411604642868,0.8948256969451904,9222.324584960938,3104.88697886467,0.77
1000,14648.34297299385,0.8955559730529785,11295.60086607933,3351.3273146152496,0.78
