size,total_time,pca_time,training_time,prediction_time,accuracy
100,1289.5865800380707,0.5550069808959961,321.4726059436798,967.3140654563904,0.6833333333333333
200,3215.8598053455353,0.024764537811279297,1284.2134943008423,1931.4693222045898,0.62
300,5790.4797213077545,0.009416818618774414,2893.5863177776337,2896.666310787201,0.64
400,9050.81740641594,0.03276824951171875,5160.41544508934,3890.1572966575623,0.7566666666666667
500,12909.876296281815,0.010217905044555664,8064.657273054123,4844.98575425148,0.7833333333333333
600,17494.24874806404,0.015355587005615234,11653.1563205719,5840.707420349121,0.7733333333333333
700,22587.11100101471,0.013922452926635742,15805.372957229614,6781.452769041061,0.7766666666666666
800,28404.14812040329,0.01505589485168457,20658.951422929764,7744.832148551941,0.7733333333333333
900,34748.838077545166,0.017470121383666992,26024.729283809662,8723.489347934723,0.77
1000,41940.9524872303,0.01754927635192871,32220.995856761932,9719.577269792557,0.78
