size,total_time,pca_time,training_time,prediction_time,accuracy
100,1273.5608077049255,1.06453537940979,317.3317883014679,955.068502664566,0.6833333333333333
200,3181.990865468979,0.035208940505981445,1273.3115062713623,1908.3065795898438,0.62
300,5718.55397605896,0.007274627685546875,2856.18812584877,2862.114659547806,0.64
400,8901.770087242126,0.007837533950805664,5078.425956249237,3823.14262342453,0.7566666666666667
500,12704.299501657486,0.009801626205444336,7934.617518424988,4769.376014471054,0.7833333333333333
600,17202.997146606445,0.012700080871582031,11460.91781425476,5741.754585981369,0.7733333333333333
700,22228.121068000793,0.015744686126708984,15557.733917713165,6670.11579990387,0.7766666666666666
800,27925.645161628723,0.014250755310058594,20314.377440452576,7610.944497346878,0.7733333333333333
900,34191.75354170799,0.015271425247192383,25615.47990489006,8575.835504055023,0.77
1000,41255.689678668976,0.018511056900024414,31694.082977056503,9561.242655038834,0.78
