size,total_time,pca_time,training_time,prediction_time,accuracy
100,488.1264662742615,0.870821475982666,121.68446803092957,365.40899634361267,0.6833333333333333
200,1234.1686503887177,0.004704475402832031,495.3319914340973,738.7314705848694,0.62
300,2211.117603778839,0.0035390853881835938,1108.2442779541016,1102.6498289108276,0.64
400,3436.2863874435425,0.0033817291259765625,1964.6157503128052,1471.479427099228,0.7566666666666667
500,4915.035409450531,0.003743886947631836,3069.2871301174164,1845.588294506073,0.7833333333333333
600,6589.49377822876,0.005850791931152344,4416.77131819725,2172.509976863861,0.7733333333333333
700,8380.762158632278,0.005021572113037109,5866.828145503998,2513.75115609169,0.7766666666666666
800,10512.867191076279,0.005283355712890625,7649.609377384186,2863.0599789619446,0.7733333333333333
900,12613.336980819702,0.007421255111694336,9625.00682258606,2988.0316915512085,0.77
1000,14351.314730405807,0.005184173583984375,10936.26794552803,3414.7169263362885,0.78
